EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/08/2022 00:00,1.00164,1.00961,0.99717,1.00727,56.3,0.56,
11/07/2022 00:00,0.9905,1.00337,0.9905,1.00206,115.6,1.15,
11/04/2022 00:00,0.97495,0.99663,0.97421,0.99591,209.6,2.10,
11/03/2022 00:00,0.98146,0.98394,0.97299,0.97497,-64.9,-0.67,
11/02/2022 00:00,0.98777,0.99758,0.98128,0.98142,-63.5,-0.65,
11/01/2022 00:00,0.98766,0.99538,0.98526,0.98735,-3.1,-0.03,
10/31/2022 00:00,0.99497,0.9966,0.98731,0.98826,-67.1,-0.68,
10/28/2022 00:00,0.99641,0.99981,0.99269,0.99658,1.7,0.02,
10/27/2022 00:00,1.00754,1.00933,0.99573,0.99645,-110.9,-1.11,
10/26/2022 00:00,0.99632,1.00886,0.99434,1.00831,119.9,1.19,
10/25/2022 00:00,0.98741,0.99771,0.9849,0.99679,93.8,0.94,
10/24/2022 00:00,0.9873,0.98995,0.98069,0.98731,0.1,0.00,
10/21/2022 00:00,0.97837,0.98689,0.97048,0.98628,79.1,0.80,
10/20/2022 00:00,0.97719,0.98457,0.97549,0.97879,16.0,0.16,
10/19/2022 00:00,0.98537,0.98727,0.97575,0.97723,-81.4,-0.83,
10/18/2022 00:00,0.98414,0.98759,0.98129,0.98603,18.9,0.19,
10/17/2022 00:00,0.97225,0.98521,0.97184,0.9844,121.5,1.23,
10/14/2022 00:00,0.97704,0.98084,0.97067,0.97235,-46.9,-0.48,
10/13/2022 00:00,0.97012,0.98059,0.96315,0.9777,75.8,0.78,
10/12/2022 00:00,0.9704,0.97344,0.96676,0.9702,-2,-0.02,
10/11/2022 00:00,0.96994,0.97747,0.96704,0.97047,5.3,0.05,
10/10/2022 00:00,0.97292,0.97531,0.96817,0.9703,-26.2,-0.27,
10/07/2022 00:00,0.97897,0.98171,0.97265,0.97382,-51.5,-0.53,
10/06/2022 00:00,0.98805,0.99261,0.9788,0.97908,-89.7,-0.92,
10/05/2022 00:00,0.99852,0.99948,0.98348,0.98856,-99.6,-1.01,
10/04/2022 00:00,0.98242,0.99998,0.98062,0.99862,162.0,1.62,
10/03/2022 00:00,0.97922,0.98446,0.97527,0.98248,32.6,0.33,
09/30/2022 00:00,0.98168,0.98535,0.97344,0.9799,-17.8,-0.18,
09/29/2022 00:00,0.97306,0.98147,0.96355,0.9813,82.4,0.84,
09/28/2022 00:00,0.9593,0.9751,0.95359,0.97363,143.3,1.47,
09/27/2022 00:00,0.9609,0.9671,0.95693,0.95933,-15.7,-0.16,
09/26/2022 00:00,0.96701,0.97099,0.95504,0.96084,-61.7,-0.64,
09/23/2022 00:00,0.98311,0.98516,0.96679,0.96883,-142.8,-1.47,
09/22/2022 00:00,0.98358,0.99074,0.98072,0.98339,-1.9,-0.02,
09/21/2022 00:00,0.99677,0.99754,0.98127,0.98369,-130.8,-1.33,
09/20/2022 00:00,1.0021,1.00508,0.99553,0.99698,-51.2,-0.51,
09/19/2022 00:00,1.0011,1.00289,0.99656,1.00246,13.6,0.14,
09/16/2022 00:00,0.99976,1.00362,0.99448,1.00127,15.1,0.15,
09/15/2022 00:00,0.99735,1.00178,0.99557,0.99962,22.7,0.23,
09/14/2022 00:00,0.99681,1.00233,0.99553,0.99791,11.0,0.11,
09/13/2022 00:00,1.01223,1.01873,0.99671,0.99673,-155.0,-1.56,
09/12/2022 00:00,1.01,1.01978,1.00597,1.01217,21.7,0.21,
09/09/2022 00:00,0.99941,1.01131,0.99941,1.00459,51.8,0.52,
09/08/2022 00:00,1.00076,1.00296,0.99309,0.99986,-9.0,-0.09,
09/07/2022 00:00,0.99034,1.00107,0.98751,1.00061,102.7,1.03,
09/06/2022 00:00,0.99246,0.99861,0.98637,0.99064,-18.2,-0.18,
09/05/2022 00:00,0.99251,0.99444,0.9878,0.99316,6.5,0.07,
09/02/2022 00:00,0.99437,1.00336,0.99414,0.99574,13.7,0.14,
09/01/2022 00:00,1.00511,1.00543,0.99108,0.99456,-105.5,-1.06,
08/31/2022 00:00,1.00135,1.00791,0.99713,1.00524,38.9,0.39,
08/30/2022 00:00,0.99935,1.00548,0.99821,1.00148,21.3,0.21,
08/29/2022 00:00,0.99624,1.0029,0.99142,0.99976,35.2,0.35,
08/26/2022 00:00,0.9973,1.00899,0.99465,0.9965,-8,-0.08,
08/25/2022 00:00,0.99649,1.00336,0.99493,0.99741,9.2,0.09,
08/24/2022 00:00,0.99668,0.99993,0.99102,0.99679,1.1,0.01,
08/23/2022 00:00,0.99414,1.0018,0.99,0.99673,25.9,0.26,
08/22/2022 00:00,1.00369,1.00465,0.99262,0.99421,-94.8,-0.95,
08/19/2022 00:00,1.00855,1.00954,1.00319,1.0039,-46.5,-0.46,
08/18/2022 00:00,1.01772,1.01931,1.00797,1.00867,-90.5,-0.90,
08/17/2022 00:00,1.01651,1.02031,1.01457,1.01774,12.3,0.12,
08/16/2022 00:00,1.0161,1.01948,1.01225,1.01705,9.5,0.09,
08/15/2022 00:00,1.02563,1.02679,1.01544,1.01589,-97.4,-0.96,
08/12/2022 00:00,1.03203,1.03272,1.02384,1.02562,-64.1,-0.62,
08/11/2022 00:00,1.0298,1.03646,1.02756,1.03198,21.8,0.21,
08/10/2022 00:00,1.02118,1.03684,1.02018,1.02973,85.5,0.83,
08/09/2022 00:00,1.01915,1.02477,1.01889,1.02133,21.8,0.21,
08/08/2022 00:00,1.01757,1.02216,1.01588,1.01932,17.5,0.17,
08/05/2022 00:00,1.02459,1.0252,1.01416,1.01779,-68.0,-0.67,
08/04/2022 00:00,1.01623,1.02534,1.01541,1.0245,82.7,0.81,
08/03/2022 00:00,1.01649,1.02099,1.01229,1.01688,3.9,0.04,
08/02/2022 00:00,1.02592,1.02939,1.01633,1.01659,-93.3,-0.92,
08/01/2022 00:00,1.02165,1.02752,1.02052,1.02599,43.4,0.42,
07/29/2022 00:00,1.01973,1.02544,1.01461,1.02265,29.2,0.29,
07/28/2022 00:00,1.02003,1.02342,1.01139,1.01967,-3.6,-0.04,
07/27/2022 00:00,1.01145,1.02208,1.00965,1.01988,84.3,0.83,
07/26/2022 00:00,1.0216,1.02501,1.01077,1.01178,-98.2,-0.97,
07/25/2022 00:00,1.02104,1.02574,1.01785,1.0218,7.6,0.07,
07/22/2022 00:00,1.02259,1.02555,1.01298,1.02112,-14.7,-0.14,
07/21/2022 00:00,1.01816,1.02779,1.0153,1.02276,46.0,0.45,
07/20/2022 00:00,1.02233,1.02729,1.01552,1.01816,-41.7,-0.41,
07/19/2022 00:00,1.01389,1.02694,1.01197,1.02245,85.6,0.84,
07/18/2022 00:00,1.00819,1.02009,1.00783,1.01435,61.6,0.61,
07/15/2022 00:00,1.00134,1.0098,1.0007,1.00861,72.7,0.72,
07/14/2022 00:00,1.0058,1.00589,0.99522,1.00202,-37.8,-0.38,
07/13/2022 00:00,1.0037,1.0122,0.99978,1.00572,20.2,0.20,
07/12/2022 00:00,1.00365,1.00738,1.00001,1.0036,-0.5,0.00,
07/11/2022 00:00,1.01775,1.01835,1.00338,1.00408,-136.7,-1.36,
07/08/2022 00:00,1.01625,1.01915,1.00721,1.01836,21.1,0.21,
07/07/2022 00:00,1.01806,1.0221,1.01441,1.01613,-19.3,-0.19,
07/06/2022 00:00,1.02676,1.02766,1.01614,1.01807,-86.9,-0.85,
07/05/2022 00:00,1.04199,1.04488,1.02353,1.0264,-155.9,-1.52,
07/04/2022 00:00,1.04182,1.04626,1.04159,1.04225,4.3,0.04,
07/01/2022 00:00,1.04789,1.04849,1.0366,1.0427,-51.9,-0.50,
06/30/2022 00:00,1.04395,1.04887,1.03827,1.04832,43.7,0.42,
06/29/2022 00:00,1.05182,1.05357,1.04353,1.04413,-76.9,-0.74,
06/28/2022 00:00,1.05834,1.06063,1.05037,1.05208,-62.6,-0.60,
06/27/2022 00:00,1.05468,1.06147,1.05458,1.05815,34.7,0.33,
06/24/2022 00:00,1.0521,1.05711,1.05121,1.05539,32.9,0.31,
06/23/2022 00:00,1.05644,1.05808,1.04825,1.05207,-43.7,-0.42,
06/22/2022 00:00,1.05325,1.06054,1.04686,1.05684,35.9,0.34,
06/21/2022 00:00,1.05073,1.05827,1.0506,1.05348,27.5,0.26,
06/20/2022 00:00,1.04729,1.05456,1.04729,1.05103,37.4,0.36,
06/17/2022 00:00,1.05467,1.05606,1.04447,1.04969,-49.8,-0.47,
06/16/2022 00:00,1.0443,1.06015,1.03811,1.05499,106.9,1.01,
06/15/2022 00:00,1.04088,1.05078,1.0359,1.04471,38.3,0.37,
06/14/2022 00:00,1.04066,1.04846,1.03969,1.04172,10.6,0.10,
06/13/2022 00:00,1.05137,1.05197,1.03995,1.04076,-106.1,-1.02,
06/10/2022 00:00,1.06152,1.0642,1.05056,1.05209,-94.3,-0.90,
06/09/2022 00:00,1.07154,1.07736,1.06111,1.06174,-98.0,-0.92,
06/08/2022 00:00,1.07018,1.07484,1.06712,1.07153,13.5,0.13,
06/07/2022 00:00,1.06901,1.07145,1.06522,1.07052,15.1,0.14,
06/06/2022 00:00,1.07147,1.07517,1.06837,1.06956,-19.1,-0.18,
06/03/2022 00:00,1.07445,1.07646,1.07041,1.07168,-27.7,-0.26,
06/02/2022 00:00,1.0644,1.07501,1.06429,1.07468,102.8,0.96,
06/01/2022 00:00,1.07324,1.07392,1.06274,1.06525,-79.9,-0.75,
05/31/2022 00:00,1.07759,1.07791,1.06789,1.07324,-43.5,-0.41,
05/30/2022 00:00,1.07329,1.07868,1.07249,1.07795,46.6,0.43,
05/27/2022 00:00,1.07177,1.07651,1.06971,1.07312,13.5,0.13,
05/26/2022 00:00,1.06822,1.07317,1.06625,1.07297,47.5,0.44,
05/25/2022 00:00,1.0734,1.0739,1.06423,1.06785,-55.5,-0.52,
05/24/2022 00:00,1.06875,1.07482,1.06607,1.07356,48.1,0.45,
05/23/2022 00:00,1.05571,1.06972,1.05536,1.06919,134.8,1.26,
05/20/2022 00:00,1.05825,1.05991,1.05332,1.05592,-23.3,-0.22,
05/19/2022 00:00,1.04672,1.06071,1.04604,1.05837,116.5,1.10,
05/18/2022 00:00,1.05441,1.05636,1.04601,1.04605,-83.6,-0.80,
05/17/2022 00:00,1.04337,1.05553,1.04282,1.05502,116.5,1.10,
05/16/2022 00:00,1.03999,1.0443,1.0389,1.0434,34.1,0.33,
05/13/2022 00:00,1.03757,1.04195,1.03495,1.0408,32.3,0.31,
05/12/2022 00:00,1.05206,1.05293,1.0354,1.03797,-140.9,-1.36,
05/11/2022 00:00,1.05265,1.05771,1.05019,1.05138,-12.7,-0.12,
05/10/2022 00:00,1.05558,1.05855,1.05256,1.05298,-26.0,-0.25,
05/09/2022 00:00,1.05352,1.05923,1.04951,1.05581,22.9,0.22,
05/06/2022 00:00,1.0542,1.05988,1.04829,1.05439,1.9,0.02,
05/05/2022 00:00,1.06198,1.06417,1.04924,1.05388,-81.0,-0.77,
05/04/2022 00:00,1.05203,1.0631,1.05062,1.06222,101.9,0.96,
05/03/2022 00:00,1.05021,1.05779,1.04924,1.05193,17.2,0.16,
05/02/2022 00:00,1.05513,1.05683,1.04902,1.05073,-44.0,-0.42,
04/29/2022 00:00,1.04978,1.05931,1.04915,1.05464,48.6,0.46,
04/28/2022 00:00,1.05618,1.05645,1.04709,1.04987,-63.1,-0.60,
04/27/2022 00:00,1.06371,1.06543,1.05143,1.05582,-78.9,-0.75,
04/26/2022 00:00,1.07124,1.07387,1.06357,1.06371,-75.3,-0.71,
04/25/2022 00:00,1.08029,1.08149,1.06968,1.07113,-91.6,-0.86,
04/22/2022 00:00,1.08329,1.08515,1.07707,1.08016,-31.3,-0.29,
04/21/2022 00:00,1.0849,1.0936,1.08234,1.08314,-17.6,-0.16,
04/20/2022 00:00,1.07868,1.08671,1.0784,1.08542,67.4,0.62,
04/19/2022 00:00,1.07791,1.08143,1.0761,1.07886,9.5,0.09,
04/18/2022 00:00,1.07998,1.08217,1.07699,1.07806,-19.2,-0.18,
04/15/2022 00:00,1.08275,1.08296,1.07963,1.08064,-21.1,-0.20,
04/14/2022 00:00,1.08868,1.09236,1.07577,1.08295,-57.3,-0.53,
04/13/2022 00:00,1.08257,1.08942,1.08087,1.08914,65.7,0.60,
04/12/2022 00:00,1.08824,1.09035,1.08213,1.08256,-56.8,-0.52,
04/11/2022 00:00,1.09154,1.09331,1.08727,1.08834,-32.0,-0.29,
04/08/2022 00:00,1.0876,1.0892,1.08366,1.08751,-0.9,-0.01,
04/07/2022 00:00,1.08912,1.09382,1.08647,1.08798,-11.4,-0.10,
04/06/2022 00:00,1.09057,1.09381,1.08748,1.08962,-9.5,-0.09,
04/05/2022 00:00,1.09698,1.09886,1.09001,1.09055,-64.3,-0.59,
04/04/2022 00:00,1.10263,1.10543,1.09604,1.0971,-55.3,-0.50,
04/01/2022 00:00,1.10628,1.10758,1.10278,1.10449,-17.9,-0.16,
03/31/2022 00:00,1.11575,1.11848,1.10609,1.10659,-91.6,-0.83,
03/30/2022 00:00,1.10862,1.1171,1.10798,1.11579,71.7,0.64,
03/29/2022 00:00,1.09768,1.11373,1.09696,1.10861,109.3,0.99,
03/28/2022 00:00,1.09831,1.09998,1.09449,1.09863,3.2,0.03,
03/25/2022 00:00,1.0996,1.10377,1.09809,1.09849,-11.1,-0.10,
03/24/2022 00:00,1.10064,1.10138,1.0966,1.09968,-9.6,-0.09,
03/23/2022 00:00,1.10247,1.10442,1.09643,1.10057,-19.0,-0.17,
03/22/2022 00:00,1.10145,1.10457,1.09609,1.10303,15.8,0.14,
03/21/2022 00:00,1.10551,1.10701,1.10102,1.10165,-38.6,-0.35,
03/18/2022 00:00,1.10907,1.11187,1.10031,1.10498,-40.9,-0.37,
03/17/2022 00:00,1.10352,1.11373,1.10074,1.10908,55.6,0.50,
03/16/2022 00:00,1.09532,1.10472,1.0948,1.1035,81.8,0.74,
03/15/2022 00:00,1.09397,1.102,1.09264,1.09543,14.6,0.13,
03/14/2022 00:00,1.09182,1.09938,1.09006,1.09398,21.6,0.20,
03/11/2022 00:00,1.09831,1.10438,1.09021,1.09143,-68.8,-0.63,
03/10/2022 00:00,1.10705,1.11212,1.09763,1.09886,-81.9,-0.75,
03/09/2022 00:00,1.09003,1.1095,1.08898,1.10758,175.5,1.58,
03/08/2022 00:00,1.08548,1.09583,1.08486,1.08962,41.4,0.38,
03/07/2022 00:00,1.09189,1.09324,1.08061,1.0854,-64.9,-0.60,
03/04/2022 00:00,1.10635,1.1068,1.0886,1.09306,-132.9,-1.22,
03/03/2022 00:00,1.11172,1.11217,1.10338,1.10657,-51.5,-0.47,
03/02/2022 00:00,1.11213,1.11441,1.10577,1.11195,-1.8,-0.02,
03/01/2022 00:00,1.12161,1.12331,1.10897,1.11234,-92.7,-0.83,
02/28/2022 00:00,1.11228,1.12461,1.11228,1.12187,95.9,0.85,
02/25/2022 00:00,1.11905,1.1274,1.11658,1.12718,81.3,0.72,
02/24/2022 00:00,1.13053,1.13085,1.11062,1.11934,-111.9,-1.00,
02/23/2022 00:00,1.13228,1.13585,1.13009,1.13045,-18.3,-0.16,
02/22/2022 00:00,1.13069,1.13663,1.12877,1.13248,17.9,0.16,
02/21/2022 00:00,1.13134,1.13906,1.13067,1.1309,-4.4,-0.04,
02/18/2022 00:00,1.13583,1.13767,1.13145,1.13228,-35.5,-0.31,
02/17/2022 00:00,1.13713,1.13858,1.13229,1.13616,-9.7,-0.09,
02/16/2022 00:00,1.13559,1.13958,1.13451,1.13727,16.8,0.15,
02/15/2022 00:00,1.13051,1.13681,1.13009,1.13573,52.2,0.46,
02/14/2022 00:00,1.13368,1.1369,1.12799,1.13062,-30.6,-0.27,
02/11/2022 00:00,1.14269,1.14302,1.13297,1.13478,-79.1,-0.70,
02/10/2022 00:00,1.14229,1.14949,1.1375,1.14274,4.5,0.04,
02/09/2022 00:00,1.14127,1.14477,1.14025,1.14222,9.5,0.08,
02/08/2022 00:00,1.14411,1.14488,1.13964,1.1417,-24.1,-0.21,
02/07/2022 00:00,1.14633,1.14639,1.14154,1.14415,-21.8,-0.19,
02/04/2022 00:00,1.14367,1.1484,1.14118,1.14521,15.4,0.13,
02/03/2022 00:00,1.13011,1.14513,1.12671,1.14385,137.4,1.20,
02/02/2022 00:00,1.12699,1.13298,1.12664,1.1304,34.1,0.30,
02/01/2022 00:00,1.12332,1.12784,1.12207,1.12733,40.1,0.36,
01/31/2022 00:00,1.114,1.12479,1.11381,1.12328,92.8,0.83,
01/28/2022 00:00,1.11451,1.11732,1.11211,1.11471,2.0,0.02,
01/27/2022 00:00,1.12409,1.12429,1.11313,1.11442,-96.7,-0.87,
01/26/2022 00:00,1.12987,1.13106,1.12354,1.12413,-57.4,-0.51,
01/25/2022 00:00,1.1322,1.13287,1.12635,1.13014,-20.6,-0.18,
01/24/2022 00:00,1.13375,1.1345,1.12906,1.13242,-13.3,-0.12,
01/21/2022 00:00,1.13086,1.13595,1.13005,1.13416,33.0,0.29,
01/20/2022 00:00,1.1341,1.13688,1.13031,1.13103,-30.7,-0.27,
01/19/2022 00:00,1.13215,1.13571,1.13188,1.13419,20.4,0.18,
01/18/2022 00:00,1.14054,1.14217,1.13148,1.13278,-77.6,-0.69,
01/17/2022 00:00,1.14097,1.14344,1.13918,1.14061,-3.6,-0.03,
01/14/2022 00:00,1.14539,1.14824,1.13982,1.14153,-38.6,-0.34,
01/13/2022 00:00,1.14404,1.14818,1.14359,1.14541,13.7,0.12,
01/12/2022 00:00,1.1367,1.14529,1.13549,1.14414,74.4,0.65,
01/11/2022 00:00,1.13218,1.13753,1.1313,1.13683,46.5,0.41,
01/10/2022 00:00,1.13555,1.13604,1.12851,1.13278,-27.7,-0.24,
01/07/2022 00:00,1.1295,1.13646,1.12898,1.13592,64.2,0.57,
01/06/2022 00:00,1.13109,1.13318,1.12847,1.12982,-12.7,-0.11,
01/05/2022 00:00,1.12841,1.13465,1.12771,1.13125,28.4,0.25,
01/04/2022 00:00,1.12952,1.13226,1.12724,1.12878,-7.4,-0.07,
01/03/2022 00:00,1.13648,1.13786,1.12796,1.12974,-67.4,-0.60,
